# Dataset "Data 0" exported from GenX on Tue Apr  2 13:46:10 2024
# Column lables:
# x	I_simulated	I	error(I)
7.099999999999999645e-01 1.012236443867799826e+06 3.496800000000000000e+05 nan
7.199999999999999734e-01 9.453016841821601847e+05 3.498040000000000000e+05 nan
7.299999999999999822e-01 8.503166808389245998e+05 3.538340000000000000e+05 nan
7.399999999999999911e-01 7.367024879310760880e+05 3.506100000000000000e+05 nan
7.500000000000000000e-01 6.204756338283570949e+05 3.688380000000000000e+05 nan
7.600000000000000089e-01 5.143348503901455551e+05 3.693960000000000000e+05 nan
7.700000000000000178e-01 4.211972644123312784e+05 3.582980000000000000e+05 nan
7.800000000000000266e-01 3.416860585749817546e+05 3.679700000000000000e+05 nan
7.900000000000000355e-01 2.830536323844672297e+05 3.624520000000000000e+05 nan
8.000000000000000444e-01 2.515146898124954605e+05 3.560040000000000000e+05 nan
8.100000000000000533e-01 2.372226216093055846e+05 3.297780000000000000e+05 nan
8.199999999999999512e-01 2.256189566514696344e+05 2.864400000000000000e+05 nan
8.299999999999999600e-01 2.037338907797756838e+05 2.288420000000000000e+05 nan
8.399999999999999689e-01 1.698063617498705862e+05 1.859380000000000000e+05 nan
8.499999999999999778e-01 1.336289653906182793e+05 1.641760000000000000e+05 nan
8.599999999999999867e-01 1.089980737410903821e+05 1.461340000000000000e+05 nan
8.699999999999999956e-01 1.025623862095734221e+05 1.203040000000000000e+05 nan
8.800000000000000044e-01 1.095676157882298721e+05 8.279200000000000000e+04 nan
8.900000000000000133e-01 1.187566632100652496e+05 7.512800000000000000e+04 nan
9.000000000000000222e-01 1.198520918028548476e+05 8.674400000000000000e+04 nan
9.100000000000000311e-01 1.086505989597702137e+05 1.009840000000000000e+05 nan
9.200000000000000400e-01 8.812976525344382389e+04 9.943200000000000000e+04 nan
9.300000000000000488e-01 6.581385825386022043e+04 8.201600000000000000e+04 nan
9.399999999999999467e-01 4.932996119455669395e+04 5.684000000000000000e+04 nan
9.499999999999999556e-01 4.284035742815454432e+04 3.687200000000000000e+04 nan
9.599999999999999645e-01 4.580351292410178576e+04 3.220800000000000000e+04 nan
9.699999999999999734e-01 5.402654671655550919e+04 3.759200000000000000e+04 nan
9.799999999999999822e-01 6.198456887197417382e+04 5.217600000000000000e+04 nan
9.899999999999999911e-01 6.517187782344661537e+04 5.798400000000000000e+04 nan
1.000000000000000000e+00 6.163007739931642573e+04 5.938400000000000000e+04 nan
1.010000000000000009e+00 5.227439812316846655e+04 5.372800000000000000e+04 nan
1.020000000000000018e+00 4.011137562951091968e+04 4.211200000000000000e+04 nan
1.030000000000000027e+00 2.882953447555886305e+04 2.797600000000000000e+04 nan
1.040000000000000036e+00 2.138046396473907589e+04 1.930400000000000000e+04 nan
1.050000000000000044e+00 1.906693490667981678e+04 1.689600000000000000e+04 nan
1.060000000000000053e+00 2.136425924104565638e+04 1.866400000000000000e+04 nan
1.070000000000000062e+00 2.636740613848284192e+04 2.440000000000000000e+04 nan
1.080000000000000071e+00 3.158589189490272111e+04 3.064800000000000000e+04 nan
1.090000000000000080e+00 3.480202042062836699e+04 3.478400000000000000e+04 nan
1.100000000000000089e+00 3.473842809897779080e+04 3.426400000000000000e+04 nan
1.110000000000000098e+00 3.134135266502719605e+04 3.154400000000000000e+04 nan
1.120000000000000107e+00 2.562444986016756229e+04 2.472000000000000000e+04 nan
1.129999999999999893e+00 1.919050004780412928e+04 1.829600000000000000e+04 nan
1.139999999999999902e+00 1.365681108123064223e+04 1.205200000000000000e+04 nan
1.149999999999999911e+00 1.019236954965528821e+04 1.019100000000000000e+04 nan
1.159999999999999920e+00 9.264839346132546780e+03 9.337000000000000000e+03 nan
1.169999999999999929e+00 1.059988005477564911e+04 1.054500000000000000e+04 nan
1.179999999999999938e+00 1.332999456622855178e+04 1.493500000000000000e+04 nan
1.189999999999999947e+00 1.629857897401832270e+04 1.757200000000000000e+04 nan
1.199999999999999956e+00 1.843217320394064518e+04 1.870000000000000000e+04 nan
1.209999999999999964e+00 1.904580037546113090e+04 1.886300000000000000e+04 nan
1.219999999999999973e+00 1.797517944415947568e+04 1.821200000000000000e+04 nan
1.229999999999999982e+00 1.552639873228420038e+04 1.510500000000000000e+04 nan
1.239999999999999991e+00 1.231592567176110242e+04 1.125800000000000000e+04 nan
1.250000000000000000e+00 9.082124420563572130e+03 9.122000000000000000e+03 nan
1.260000000000000009e+00 6.506499003550642556e+03 6.495000000000000000e+03 nan
1.270000000000000018e+00 5.055670757317768221e+03 4.895000000000000000e+03 nan
1.280000000000000027e+00 4.871579119458109744e+03 6.262000000000000000e+03 nan
